Designator,Footprint,Quantity,Value,LCSC Part #
"3V31, 3V3_EN1, ADC_VREF1, GND1, GND2, GND3, GND4_2, GND4, GND6, GPI10, GPIO0, GPIO1_8, GPIO1_7, GPIO1_6, GPIO1_5, GPIO1_4, GPIO1_3, GPIO1_2, GPIO1, GPIO11, GPIO12, GPIO13, GPIO15, GPIO16, GPIO17, GPIO18, GPIO19, GPIO2, GPIO21_2, GPIO21, GPIO22, GPIO24, GPIO25, GPIO26, GPIO27, GPIO28, GPIO29, GPIO3, GPIO30, GPIO32, GPIO34, GPIO35, GPIO36, GPIO37, GPIO38, GPIO39, GPIO4, GPIO40, GPIO41, GPIO42, GPIO43, GPIO44, GPIO45, GPIO46, GPIO5, GPIO7, GPIO8, RUN1, VBUS1, VSYS1",Castellated Pad,60,Castellated Pad,
"BOOT1, RESET1",KEY-SMD_4P-L4.2-W3.2-P2.20-LS5.1-TL,2,K2-1808SN-A4SW-01,C92589
"C1, C13, C14, C16, C2, C36, C7, C8",C_0402,8,100nF,C1525
"C10, C12",C_0603,2,4.7uF,C19666
"C11, C19",C_0402,2,4.7uF,C23733
"C15, C9",C_0603,2,100nF,C14663
"C17, C18",C_0402,2,15pF,C1548
"C3, C4, C5, C6",C_0402,4,100nF,
"C37, C40",R_0402,2,10uF,C77000
"C38, C39",R_0402,2,100nF,C77020
D1,POWERDI-123_L2.8-W1.8-LS3.7-RD,1,~,C110493
"D2, D3",0402,2,RCLAMP0521P.TCT-MS,C3029033
L2,IND-SMD_L2.0-W1.6_AOTA-B201610S3R3-101-T,1,~,C42411119
PWR_LED1,LED0402-RD,1,~,C130719
"R1, R4",R_0402,2,5.1kΩ,C25905
R11,R_0402,1,100kΩ,C60491
R12,R_0402,1,2kΩ,C4109
"R2, R3, R6",R_0402,3,33Ω,C25105
"R28, R5",R_0603,2,1kΩ,C21190
R29,R_0402,1,5.6kΩ,C25908
R30,R_0402,1,10kΩ,C60490
R7,R_0402,1,1Ω,C25086
R8,R_0402,1,200Ω,C853120
U1,QFN-80_L10.0-W10.0-P0.40-TL-EP3.4,1,~,C42415655
U2,CONN-SMD_SM03B-SRSS-TB-LF-SN-P,1,SM03B-SRSS-TB(LF)(SN)(P),C160403
U3,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR,1,~,C427602
U4,SOIC-8_L5.3-W5.3-P1.27-LS8.0-BL,1,W25Q128,C97521
USB1,USB-C-SMD_TYPE-C-6PIN-2MD-073,1,~,
X1,CRYSTAL-SMD_4P-L3.2-W2.5-BL,1,~,C20625731
